Opponent,Wins,Draws,Loses,Equity%
KdQh,7720752,112998,2440074,75.7
KdJh,6645822,45630,3582372,64.91
KdTh,6613236,44322,3616266,64.59
Kd9h,6741792,43608,3488424,65.83
Kd8h,6832080,42324,3399420,66.71
Kd7h,6815010,41100,3417714,66.53
Kd6h,6775806,41118,3456900,66.15
Kd5h,6803118,46110,3424596,66.44
Kd4h,6839268,48306,3386250,66.8
Kd3h,6876012,51006,3346806,67.18
Kd2h,6913350,54384,3306090,67.56
QdQh,1728777,63786,3344349,34.27
QdJh,7542876,144492,2586456,74.12
QdTh,7512978,143292,2617554,73.82
Qd9h,7719102,151932,2402790,75.87
Qd8h,7691814,150756,2431254,75.6
Qd7h,7813152,160932,2299740,76.83
Qd6h,7781994,161058,2330772,76.53
Qd5h,7824420,166158,2283246,76.97
Qd4h,7872552,168462,2232810,77.45
Qd3h,7921278,171270,2181276,77.94
Qd2h,7970598,174756,2128470,78.43
JdJh,2355573,19254,2762085,46.04
JdTh,6680676,42870,3550278,65.23
Jd9h,6810150,42156,3421518,66.49
Jd8h,6900438,40872,3332514,67.36
Jd7h,7012830,40428,3220566,68.46
Jd6h,7101750,40446,3131628,69.32
Jd5h,7096476,44064,3133284,69.29
Jd4h,7132626,46260,3094938,69.65
Jd3h,7169370,48960,3055494,70.02
Jd2h,7206708,52338,3014778,70.4
TdTh,2354769,18522,2763621,46.02
Td9h,6680334,41214,3552276,65.22
Td8h,6770622,39930,3463272,66.1
Td7h,6883014,39486,3351324,67.19
Td6h,6971934,39504,3262386,68.05
Td5h,7096476,44130,3133218,69.29
Td4h,7100040,44952,3128832,69.33
Td3h,7136784,47652,3089388,69.7
Td2h,7174122,51030,3048672,70.08
9d9h,2429820,18588,2688504,47.48
9d8h,6652296,39786,3581742,64.94
9d7h,6764688,39342,3469794,66.04
9d6h,6819900,39360,3414564,66.57
9d5h,6944442,43986,3285396,67.81
9d4h,7077822,45816,3150186,69.11
9d3h,7081980,47142,3144702,69.16
9d2h,7119318,50520,3103986,69.54
8d8h,2435496,17880,2683536,47.59
8d7h,6636654,38424,3598746,64.78
8d6h,6691866,38442,3543516,65.32
8d5h,6816408,43068,3414348,66.56
8d4h,6949788,44898,3279138,67.86
8d3h,7083762,47232,3142830,69.18
8d2h,7088514,49236,3136074,69.24
7d7h,2471544,18288,2647080,48.29
7d6h,6610062,38640,3625122,64.53
7d5h,6734604,43266,3495954,65.76
7d4h,6867984,45096,3360744,67.07
7d3h,7001958,47430,3224436,68.38
7d2h,7136526,50442,3086856,69.71
6d6h,2467098,18321,2651493,48.21
6d5h,6578106,43332,3652386,64.24
6d4h,6711486,45162,3517176,65.55
6d3h,6845460,47496,3380868,66.86
6d2h,6980028,50508,3243288,68.19
5d5h,2482434,21795,2632683,48.54
5d4h,6599328,49374,3625122,64.47
5d3h,6733302,51708,3488814,65.79
5d2h,6867870,54720,3351234,67.11
4d4h,2509446,24567,2602899,49.09
4d3h,6770046,53904,3449874,66.16
4d2h,6904614,56916,3312294,67.48
3d3h,2539698,27843,2569371,49.71
3d2h,6941952,59616,3272256,67.86
2d2h,2573190,31797,2531925,50.4
AdKd,1366854,217224,3552834,28.72
AdQd,367671,4401570,367671,50.0
AdJd,3501939,271518,1363455,70.81
AdTd,3488439,271077,1377396,70.55
Ad9d,3492888,273960,1370064,70.66
Ad8d,3479388,274824,1382700,70.41
Ad7d,3484734,276384,1375794,70.53
Ad6d,3488046,259134,1389732,70.42
Ad5d,3421533,277536,1437843,69.31
Ad4d,3441657,280650,1414605,69.73
Ad3d,3461781,284061,1391070,70.16
Ad2d,3481905,287769,1367238,70.58
KdQd,3639417,58485,1439010,71.42
KdJd,3120198,25551,1991163,60.99
KdTd,3105288,25056,2006568,60.69
Kd9d,3164517,24813,1947582,61.85
Kd8d,3206199,24318,1906395,62.65
Kd7d,3197793,23823,1915296,62.48
Kd6d,3179739,23859,1933314,62.13
Kd5d,3193122,25932,1917858,62.41
Kd4d,3209814,26499,1900599,62.74
Kd3d,3226803,27066,1883043,63.08
Kd2d,3244089,27633,1865190,63.42
QdJd,3557415,73941,1505556,69.97
QdTd,3543915,73500,1519497,69.7
Qd9d,3636327,76812,1423773,71.54
Qd8d,3624132,76371,1436409,71.29
Qd7d,3680763,80355,1375794,72.44
Qd6d,3666732,80442,1389738,72.16
Qd5d,3687546,82569,1366797,72.59
Qd4d,3710163,83190,1343559,73.04
Qd3d,3733077,83811,1320024,73.49
Qd2d,3756288,84432,1296192,73.95
JdTd,3143661,24390,1968861,61.43
Jd9d,3203349,24147,1909416,62.59
Jd8d,3245031,23652,1868229,63.4
Jd7d,3297297,23499,1816116,64.42
Jd6d,3338040,23532,1775340,65.21
Jd5d,3336513,25074,1775325,65.2
Jd4d,3353205,25641,1758066,65.53
Jd3d,3370194,26208,1740510,65.86
Jd2d,3387480,26775,1722657,66.2
Td9d,3143667,23733,1969512,61.43
Td8d,3185349,23238,1928325,62.24
Td7d,3237615,23085,1876212,63.25
Td6d,3278358,23118,1835436,64.04
Td5d,3336513,25110,1775289,65.2
Td4d,3338295,25146,1773471,65.23
Td3d,3355284,25713,1755915,65.57
Td2d,3372570,26280,1738062,65.91
9d8d,3128067,23115,1985730,61.12
9d7d,3180333,22962,1933617,62.13
9d6d,3205638,22995,1908279,62.63
9d5d,3263793,24987,1848132,63.78
9d4d,3325257,25473,1786182,64.98
9d3d,3327336,25509,1784067,65.02
9d2d,3344622,26076,1766214,65.36
8d7d,3121542,22557,1992813,60.99
8d6d,3146847,22593,1967472,61.48
8d5d,3205002,24585,1907325,62.63
8d4d,3266466,25071,1845375,63.83
8d3d,3328227,25557,1783128,65.04
8d2d,3330603,25593,1780716,65.09
7d6d,3108705,22608,2005599,60.74
7d5d,3166860,24609,1945443,61.89
7d4d,3228324,25095,1883493,63.09
7d3d,3290085,25581,1821246,64.3
7d2d,3352143,26067,1758702,65.51
6d5d,3094335,24675,2017902,60.48
6d4d,3155799,25179,1955934,61.68
6d3d,3217560,25665,1893687,62.89
6d2d,3279618,26151,1831143,64.1
5d4d,3104700,27084,2005128,60.7
5d3d,3166461,27600,1942851,61.91
5d2d,3228519,28086,1880307,63.12
4d3d,3183450,28494,1924968,62.25
4d2d,3245508,29025,1862379,63.46
3d2d,3262794,30090,1844028,63.81
KcJc,1092504,10327,609473,64.1
KcTc,1086861,10149,615294,63.77
Kc9c,1109157,10079,593068,65.07
Kc8c,1124844,9901,577559,65.98
Kc7c,1121618,9723,580963,65.79
Kc6c,1114765,9735,587804,65.39
Kc5c,1119820,10501,581983,65.71
Kc4c,1126111,10703,575490,66.08
Kc3c,1132510,10905,568889,66.46
Kc2c,1139017,11107,562180,66.84
JcTc,1099581,9876,602847,64.5
Jc9c,1122039,9806,580459,65.81
Jc8c,1137726,9628,564950,66.73
Jc7c,1157346,9585,545373,67.87
Jc6c,1173417,9597,529290,68.81
Jc5c,1172829,10173,529302,68.79
Jc4c,1179120,10375,522809,69.16
Jc3c,1185519,10577,516208,69.54
Jc2c,1192026,10779,509499,69.93
Tc9c,1098762,9656,603886,64.45
Tc8c,1114449,9478,588377,65.36
Tc7c,1134069,9435,568800,66.51
Tc6c,1150140,9447,552717,67.45
Tc5c,1172829,10185,529290,68.79
Tc4c,1173477,10197,528630,68.83
Tc3c,1179876,10399,522029,69.21
Tc2c,1186383,10601,515320,69.6
9c8c,1092131,9463,610710,64.06
9c7c,1111751,9420,591133,65.2
9c6c,1121989,9432,580883,65.8
9c5c,1144678,10170,557456,67.15
9c4c,1168603,10344,533357,68.55
9c3c,1169359,10356,532589,68.59
9c2c,1175866,10558,525880,68.98
8c7c,1088798,9270,614236,63.86
8c6c,1099036,9282,603986,64.46
8c5c,1121725,10020,580559,65.8
8c4c,1145650,10194,556460,67.2
8c3c,1169683,10368,532253,68.61
8c2c,1170547,10380,531377,68.66
7c6c,1083878,9294,619132,63.57
7c5c,1106567,10032,595705,64.92
7c4c,1130492,10206,571606,66.32
7c3c,1154525,10380,547399,67.73
7c2c,1178666,10554,523084,69.14
6c5c,1078399,10044,623861,63.27
6c4c,1102324,10218,599762,64.68
6c3c,1126357,10392,575555,66.08
6c2c,1150498,10566,551240,67.5
5c4c,1083112,10849,618343,63.57
5c3c,1107145,11023,594136,64.98
5c2c,1131286,11197,569821,66.4
4c3c,1113544,11225,587535,65.36
4c2c,1137685,11399,563220,66.77
3c2c,1144192,11601,556511,67.16
