Opponent,Wins,Draws,Loses,Equity%
KdQh,7720800,115164,2437860,75.71
KdJh,7690902,113964,2468958,75.41
KdTh,7661004,112764,2500056,75.12
Kd9h,7867128,121404,2285292,77.17
Kd8h,7839840,120228,2313756,76.89
Kd7h,7813146,119112,2341566,76.63
Kd6h,7818510,120612,2334702,76.69
Kd5h,7860936,125712,2287176,77.13
Kd4h,7909068,128016,2236740,77.61
Kd3h,7957794,130824,2185206,78.09
Kd2h,8007114,134310,2132400,78.59
QdQh,2363898,20196,2752818,46.21
QdJh,6823740,45630,3404454,66.64
QdTh,6791154,44322,3438348,66.32
Qd9h,6923760,43608,3306456,67.6
Qd8h,7014048,42324,3217452,68.48
Qd7h,7111368,41100,3121356,69.42
Qd6h,7072164,41118,3160542,69.04
Qd5h,7099476,46110,3128238,69.33
Qd4h,7135626,48306,3089892,69.69
Qd3h,7172370,51006,3050448,70.06
Qd2h,7209708,54384,3009732,70.44
JdJh,2359854,19464,2757594,46.13
JdTh,6661338,43380,3569106,65.05
Jd9h,6793944,42666,3437214,66.34
Jd8h,6884232,41382,3348210,67.21
Jd7h,6981552,40158,3252114,68.15
Jd6h,7072164,41184,3160476,69.04
Jd5h,7066890,44802,3162132,69.0
Jd4h,7103040,46998,3123786,69.37
Jd3h,7139784,49698,3084342,69.74
Jd2h,7177122,53076,3043626,70.12
TdTh,2359050,18732,2759130,46.11
Td9h,6664128,41724,3567972,65.07
Td8h,6754416,40440,3478968,65.94
Td7h,6851736,39216,3382872,66.88
Td6h,6942348,40242,3291234,67.77
Td5h,7066890,44868,3162066,69.0
Td4h,7070454,45690,3157680,69.04
Td3h,7107198,48390,3118236,69.41
Td2h,7144536,51768,3077520,69.79
9d9h,2436195,18798,2681919,47.61
9d8h,6764214,40296,3469314,66.04
9d7h,6733410,39072,3501342,65.73
9d6h,6824022,40098,3409704,66.62
9d5h,6948564,44724,3280536,67.85
9d4h,7081944,46554,3145326,69.16
9d3h,7086102,47880,3139842,69.21
9d2h,7123440,51258,3099126,69.59
8d8h,2441871,18090,2676951,47.71
8d7h,6605376,38154,3630294,64.48
8d6h,6695988,39180,3538656,65.37
8d5h,6820530,43806,3409488,66.6
8d4h,6953910,45636,3274278,67.91
8d3h,7087884,47970,3137970,69.22
8d2h,7092636,49974,3131214,69.28
7d7h,2450787,17442,2668683,47.88
7d6h,6568548,38322,3666954,64.12
7d5h,6693090,42948,3537786,65.36
7d4h,6826470,44778,3402576,66.66
7d3h,6960444,47112,3266268,67.98
7d2h,7095012,50124,3128688,69.3
6d6h,2450529,18849,2667534,47.89
6d5h,6569178,44388,3660258,64.16
6d4h,6702558,46218,3525048,65.46
6d3h,6836532,48552,3388740,66.78
6d2h,6971100,51564,3251160,68.1
5d5h,2465865,22323,2648724,48.22
5d4h,6590400,50430,3632994,64.39
5d3h,6724374,52764,3496686,65.71
5d2h,6858942,55776,3359106,67.03
4d4h,2492877,25095,2618940,48.77
4d3h,6761118,54960,3457746,66.08
4d2h,6895686,57972,3320166,67.4
3d3h,2523129,28371,2585412,49.39
3d2h,6933024,60672,3280128,67.78
2d2h,2556621,32325,2547966,50.08
AdKd,367668,4401576,367668,50.0
AdQd,3552834,217224,1366854,71.28
AdJd,3539334,216783,1380795,71.01
AdTd,3525834,216342,1394736,70.74
Ad9d,3547437,219411,1370064,71.19
Ad8d,3534351,219861,1382700,70.94
Ad7d,3521265,220611,1395036,70.7
Ad6d,3541803,203475,1391634,70.93
Ad5d,3475704,221463,1439745,69.82
Ad4d,3496242,224163,1416507,70.24
Ad3d,3516780,227160,1392972,70.67
Ad2d,3537318,230454,1369140,71.1
KdQd,3639441,59568,1437903,71.43
KdJd,3625941,59127,1451844,71.16
KdTd,3612441,58686,1465785,70.89
Kd9d,3704853,61998,1370061,72.73
Kd8d,3692658,61557,1382697,72.48
Kd7d,3680760,61116,1395036,72.25
Kd6d,3683541,61734,1391637,72.31
Kd5d,3704355,63861,1368696,72.73
Kd4d,3726972,64482,1345458,73.18
Kd3d,3749886,65103,1321923,73.63
Kd2d,3773097,65724,1298091,74.09
QdJd,3209055,25554,1902303,62.72
QdTd,3194145,25059,1917708,62.42
Qd9d,3255339,24816,1856757,63.61
Qd8d,3297021,24321,1815570,64.42
Qd7d,3341799,23826,1771287,65.29
Qd6d,3323745,23859,1789308,64.94
Qd5d,3337128,25932,1773852,65.22
Qd4d,3353820,26499,1756593,65.55
Qd3d,3370809,27066,1739037,65.88
Qd2d,3388095,27633,1721184,66.22
JdTd,3134463,24645,1977804,61.26
Jd9d,3195657,24402,1916853,62.45
Jd8d,3237339,23907,1875666,63.25
Jd7d,3282117,23412,1831383,64.12
Jd6d,3323745,23895,1789272,64.94
Jd5d,3322218,25437,1789257,64.92
Jd4d,3338910,26004,1771998,65.25
Jd3d,3355899,26571,1754442,65.59
Jd2d,3373185,27138,1736589,65.93
Td9d,3135975,23988,1976949,61.28
Td8d,3177657,23493,1935762,62.09
Td7d,3222435,22998,1891479,62.95
Td6d,3264063,23481,1849368,63.77
Td5d,3322218,25473,1789221,64.92
Td4d,3324000,25509,1787403,64.96
Td3d,3340989,26076,1769847,65.29
Td2d,3358275,26643,1751994,65.63
9d8d,3179172,23370,1934370,62.12
9d7d,3165153,22875,1948884,61.84
9d6d,3206781,23358,1906773,62.65
9d5d,3264936,25350,1846626,63.81
9d4d,3326400,25836,1784676,65.01
9d3d,3328479,25872,1782561,65.05
9d2d,3345765,26439,1764708,65.39
8d7d,3106362,22470,2008080,60.69
8d6d,3147990,22956,1965966,61.51
8d5d,3206145,24948,1905819,62.66
8d4d,3267609,25434,1843869,63.86
8d3d,3329370,25920,1781622,65.06
8d2d,3331746,25956,1779210,65.11
7d6d,3089496,22575,2024841,60.36
7d5d,3147651,24576,1964685,61.51
7d4d,3209115,25062,1902735,62.72
7d3d,3270876,25548,1840488,63.92
7d2d,3332934,26034,1777944,65.14
6d5d,3090036,25170,2021706,60.4
6d4d,3151500,25674,1959738,61.6
6d3d,3213261,26160,1897491,62.81
6d2d,3275319,26646,1834947,64.02
5d4d,3100401,27579,2008932,60.62
5d3d,3162162,28095,1946655,61.83
5d2d,3224220,28581,1884111,63.04
4d3d,3179151,28989,1928772,62.17
4d2d,3241209,29520,1866183,63.38
3d2d,3258495,30585,1847832,63.73
QcJc,1124180,10327,577797,65.95
QcTc,1118537,10149,583618,65.62
Qc9c,1141559,10079,560666,66.96
Qc8c,1157246,9901,545157,67.87
Qc7c,1174851,9723,527730,68.9
Qc6c,1167998,9735,534571,68.5
Qc5c,1173053,10501,528750,68.81
Qc4c,1179344,10703,522257,69.19
Qc3c,1185743,10905,515656,69.57
Qc2c,1192250,11107,508947,69.95
JcTc,1095260,9999,607045,64.26
Jc9c,1118282,9929,584093,65.6
Jc8c,1133969,9751,568584,66.51
Jc7c,1151574,9573,551157,67.53
Jc6c,1167998,9747,534559,68.5
Jc5c,1167410,10323,534571,68.48
Jc4c,1173701,10525,528078,68.85
Jc3c,1180100,10727,521477,69.23
Jc2c,1186607,10929,514768,69.62
Tc9c,1095005,9779,607520,64.23
Tc8c,1110692,9601,592011,65.15
Tc7c,1128297,9423,574584,66.17
Tc6c,1144721,9597,557986,67.13
Tc5c,1167410,10335,534559,68.48
Tc4c,1168058,10347,533899,68.52
Tc3c,1174457,10549,527298,68.9
Tc2c,1180964,10751,520589,69.28
9c8c,1111298,9586,591420,65.18
9c7c,1105979,9408,596917,64.86
9c6c,1122403,9582,580319,65.83
9c5c,1145092,10320,556892,67.18
9c4c,1169017,10494,532793,68.58
9c3c,1169773,10506,532025,68.62
9c2c,1176280,10708,525316,69.01
8c7c,1083026,9258,620020,63.52
8c6c,1099450,9432,603422,64.48
8c5c,1122139,10170,579995,65.83
8c4c,1146064,10344,555896,67.23
8c3c,1170097,10518,531689,68.64
8c2c,1170961,10530,530813,68.69
7c6c,1076605,9282,626417,63.15
7c5c,1099294,10020,602990,64.49
7c4c,1123219,10194,578891,65.89
7c3c,1147252,10368,554684,67.3
7c2c,1171393,10542,530369,68.72
6c5c,1076769,10222,625313,63.18
6c4c,1100694,10396,601214,64.59
6c3c,1124727,10570,577007,65.99
6c2c,1148868,10744,552692,67.41
5c4c,1081482,11027,619795,63.48
5c3c,1105515,11201,595588,64.89
5c2c,1129656,11375,571273,66.31
4c3c,1111914,11403,588987,65.27
4c2c,1136055,11577,564672,66.68
3c2c,1142562,11779,557963,67.07
