Opponent,Wins,Draws,Loses,Equity%
6c5c,1095127,17449,599728,64.47
6c4c,1119052,17623,575629,65.87
6c3c,1143085,17797,551422,67.28
6c2c,1167226,17971,527107,68.69
5c4c,1090915,18064,603325,64.24
5c3c,1114948,18238,579118,65.65
5c2c,1139089,18412,554803,67.06
4c3c,1121347,18440,572517,66.03
4c2c,1145488,18614,548202,67.44
3c2c,1151995,18816,541493,67.83
