Opponent,Wins,Draws,Loses,Equity%
KdQh,735336,9315222,223266,52.49
KdJh,7436412,548106,2289306,75.05
KdTh,7405686,546906,2321232,74.74
Kd9h,7421004,553878,2298942,74.93
Kd8h,7463118,562254,2248452,75.38
Kd7h,7433220,564342,2276262,75.1
Kd6h,7403322,567144,2303358,74.82
Kd5h,7404636,577440,2291748,74.88
Kd4h,7447782,584730,2241312,75.34
Kd3h,7490928,593118,2189778,75.8
Kd2h,7534074,602778,2136972,76.27
QdQh,1785390,59850,3291672,35.34
QdJh,7583670,247434,2442720,75.02
QdTh,7552944,246234,2474646,74.71
Qd9h,7605588,253524,2414712,75.26
Qd8h,7763412,261954,2248458,76.84
Qd7h,7735890,261666,2276268,76.57
Qd6h,7708962,261498,2303364,76.31
Qd5h,7713840,268230,2291754,76.39
Qd4h,7761144,271362,2241318,76.86
Qd3h,7809042,274998,2189784,77.35
Qd2h,7857534,279312,2136978,77.84
JdJh,2377104,19746,2740062,46.47
JdTh,6785010,66438,3422376,66.37
Jd9h,6892410,65724,3315690,67.41
Jd8h,6991062,65028,3217734,68.36
Jd7h,7081944,63804,3128076,69.24
Jd6h,7179858,62700,3031266,70.19
Jd5h,7144932,67122,3061770,69.87
Jd4h,7181082,69318,3023424,70.23
Jd3h,7217826,72018,2983980,70.61
Jd2h,7255164,75396,2943264,70.98
TdTh,2376300,19014,2741598,46.44
Td9h,6762594,64782,3446448,66.14
Td8h,6861246,64086,3348492,67.1
Td7h,6952128,62862,3258834,67.97
Td6h,7050042,61758,3162024,68.92
Td5h,7144932,67188,3061704,69.87
Td4h,7148496,68010,3057318,69.91
Td3h,7185240,70710,3017874,70.28
Td2h,7222578,74088,2977158,70.66
9d9h,2435775,19080,2682057,47.6
9d8h,6743136,63132,3467556,65.94
9d7h,6803922,61908,3407994,66.53
9d6h,6868128,60804,3344892,67.15
9d5h,6963018,66234,3244572,68.1
9d4h,7096398,68064,3109362,69.4
9d3h,7100556,69390,3103878,69.45
9d2h,7137894,72768,3063162,69.83
8d8h,2501364,19974,2615574,48.89
8d7h,6792156,61782,3419886,66.41
8d6h,6761946,60678,3451200,66.11
8d5h,6856836,66108,3350880,67.06
8d4h,6990216,67938,3215670,68.37
8d3h,7124190,70272,3079362,69.69
8d2h,7128942,72276,3072606,69.74
7d7h,2509065,20541,2607306,49.04
7d6h,6634506,59820,3579498,64.87
7d5h,6729396,65250,3479178,65.82
7d4h,6862776,67080,3343968,67.13
7d3h,6996750,69414,3207660,68.44
7d2h,7131318,72426,3070080,69.76
6d6h,2519601,21633,2595678,49.26
6d5h,6602550,64512,3606762,64.58
6d4h,6735930,66342,3471552,65.89
6d3h,6869904,68676,3335244,67.2
6d2h,7004472,71688,3197664,68.53
5d5h,2537160,27375,2572377,49.66
5d4h,6610488,70320,3593016,64.69
5d3h,6744462,72654,3456708,66.0
5d2h,6879030,75666,3319128,67.33
4d4h,2561742,32577,2542593,50.19
4d3h,6781206,74850,3417768,66.37
4d2h,6915774,77862,3280188,67.69
3d3h,2589159,38688,2509065,50.78
3d2h,6953112,80562,3240150,68.07
2d2h,2619411,45882,2471619,51.44
AdKd,1437903,59568,3639441,28.57
AdQd,1439010,58485,3639417,28.58
AdJd,2131038,25551,2980323,41.73
AdTd,2127234,25056,2984622,41.65
Ad9d,2206767,24813,2905332,43.2
Ad8d,2233845,24318,2878749,43.72
Ad7d,2230041,23826,2883045,43.64
Ad6d,2230041,23865,2883006,43.64
Ad5d,2204871,25884,2906157,43.17
Ad4d,2208675,26451,2901786,43.25
Ad3d,2212479,27018,2897415,43.33
Ad2d,2216283,27585,2893044,43.41
KdQd,367668,4401576,367668,50.0
KdJd,3507297,264666,1364949,70.85
KdTd,3493383,264225,1379304,70.58
Kd9d,3497418,266811,1372683,70.68
Kd8d,3514671,270195,1352046,71.05
Kd7d,3501171,271356,1364385,70.8
Kd6d,3487671,272817,1376424,70.55
Kd5d,3488553,277536,1370823,70.61
Kd4d,3508677,280650,1347585,71.03
Kd3d,3528801,284061,1324050,71.46
Kd2d,3548925,287769,1300218,71.89
QdJd,3577110,123801,1436001,70.84
QdTd,3563196,123360,1450356,70.57
Qd9d,3584475,126042,1426395,71.01
Qd8d,3655494,129372,1352046,72.42
Qd7d,3643182,129345,1364385,72.18
Qd6d,3631167,129318,1376427,71.95
Qd5d,3633831,132255,1370826,72.03
Qd4d,3656034,133290,1347588,72.47
Qd3d,3678534,134325,1324053,72.92
Qd2d,3701331,135360,1300221,73.37
JdTd,3194571,35385,1906956,62.53
Jd9d,3243630,35142,1858140,63.49
Jd8d,3289458,34899,1812555,64.38
Jd7d,3331437,34404,1771071,65.19
Jd6d,3376512,33909,1726491,66.06
Jd5d,3360657,35847,1740408,65.77
Jd4d,3377349,36414,1723149,66.1
Jd3d,3394338,36981,1705593,66.44
Jd2d,3411624,37548,1687740,66.78
Td9d,3183948,34728,1918236,62.32
Td8d,3229776,34485,1872651,63.21
Td7d,3271755,33990,1831167,64.02
Td6d,3316830,33495,1786587,64.89
Td5d,3360657,35883,1740372,65.77
Td4d,3362439,35919,1738554,65.81
Td3d,3379428,36486,1720998,66.14
Td2d,3396714,37053,1703145,66.48
9d8d,3172575,33984,1930353,62.09
9d7d,3200793,33489,1902630,62.64
9d6d,3230430,32994,1873488,63.21
9d5d,3274257,35382,1827273,64.08
9d4d,3335721,35868,1765323,65.29
9d3d,3337800,35904,1763208,65.33
9d2d,3355086,36471,1745355,65.67
8d7d,3193188,33372,1910352,62.49
8d6d,3179466,32880,1924566,62.21
8d5d,3223293,35268,1878351,63.09
8d4d,3284757,35754,1816401,64.29
8d3d,3346518,36240,1754154,65.5
8d2d,3348894,36276,1751742,65.55
7d6d,3120972,32499,1983441,61.07
7d5d,3164799,34896,1937217,61.95
7d4d,3226263,35382,1875267,63.15
7d3d,3288024,35868,1813020,64.36
7d2d,3350082,36354,1750476,65.57
6d5d,3106602,34566,1995744,60.81
6d4d,3168066,35070,1933776,62.01
6d3d,3229827,35556,1871529,63.22
6d2d,3291885,36042,1808985,64.43
5d4d,3110544,36885,1989483,60.91
5d3d,3172305,37401,1927206,62.12
5d2d,3234363,37887,1864662,63.33
4d3d,3189294,38295,1909323,62.46
4d2d,3251352,38826,1846734,63.67
3d2d,3268638,39891,1828383,64.02
AcJc,661248,10327,1040729,38.92
AcTc,659796,10149,1042359,38.83
Ac9c,689766,10079,1012459,40.58
Ac8c,700707,9901,1001696,41.21
Ac7c,699255,9723,1003326,41.12
Ac6c,699255,9735,1003314,41.12
Ac5c,689703,10501,1012100,40.59
Ac4c,691155,10703,1010446,40.68
Ac3c,692607,10905,1008792,40.77
Ac2c,694059,11107,1007138,40.86
JcTc,1118973,13782,579549,65.75
Jc9c,1137471,13712,561121,66.83
Jc8c,1154655,13642,544007,67.83
Jc7c,1170450,13464,528390,68.75
Jc6c,1188163,13286,510855,69.78
Jc5c,1182144,14024,516136,69.45
Jc4c,1188435,14226,509643,69.82
