Opponent,Wins,Draws,Loses,Equity%
KdKh,581208,68142,4487562,11.98
KdQh,2889138,561474,6823212,30.85
KdJh,2887410,751950,6634464,31.76
KdTh,2853348,999000,6421476,32.63
Kd9h,2847300,1445826,5980698,34.75
Kd8h,2837064,2054382,5382378,37.61
Kd7h,735366,9315276,223182,52.49
Kd6h,5343594,2710662,2219568,65.2
Kd5h,5330820,2703066,2239938,65.04
Kd4h,5342304,2710038,2221482,65.19
Kd3h,5354958,2722248,2196618,65.37
Kd2h,5399946,2735730,2138148,65.87
QdQh,1619256,17889,3499767,31.7
QdJh,5972352,64278,4237194,58.44
QdTh,5971218,63288,4239318,58.43
Qd9h,6147402,63084,4063338,60.14
Qd8h,6286716,62898,3924210,61.5
Qd7h,7650018,354942,2268864,76.19
Qd6h,6717288,61140,3495396,65.68
Qd5h,6691158,66618,3516048,65.45
Qd4h,6703518,68496,3501810,65.58
Qd3h,6721782,70878,3481164,65.77
Qd2h,6769038,73938,3430848,66.25
JdJh,1628196,17475,3491241,31.87
JdTh,5893248,62574,4318002,57.67
Jd9h,6069432,62370,4142022,59.38
Jd8h,6208746,62184,4002894,60.74
Jd7h,7502580,343824,2427420,74.7
Jd6h,6743166,61206,3469452,65.93
Jd5h,6686892,65628,3521304,65.41
Jd4h,6699252,67506,3507066,65.54
Jd3h,6717516,69888,3486420,65.72
Jd2h,6764772,72948,3436104,66.2
TdTh,1625535,17466,3493911,31.81
Td9h,5970708,61656,4241460,58.42
Td8h,6110022,61470,4102332,59.77
Td7h,7355736,332706,2585382,73.22
Td6h,6626334,60492,3586998,64.79
Td5h,6713364,65694,3494766,65.66
Td4h,6691644,66516,3515664,65.46
Td3h,6709908,68898,3495018,65.65
Td2h,6757164,71958,3444702,66.12
9d9h,1653978,18924,3464010,32.38
9d8h,6056022,61818,4155984,59.25
9d7h,7219908,322650,2731266,71.85
9d6h,6520518,60840,3692466,63.76
9d5h,6607548,66042,3600234,64.64
9d4h,6733068,67644,3473112,65.87
9d3h,6717252,68970,3487602,65.72
9d2h,6764508,72030,3437286,66.19
8d8h,1682112,20805,3433995,32.95
8d7h,7116756,312612,2844456,70.79
8d6h,6443442,61206,3769176,63.01
