,vs_Hand,type,Equity_%,Draws_%,Loses_%
144,2_3,2osame,66.48,0.82,32.7
145,2_3,2osame,66.48,0.82,32.7
146,T_J,2s,66.44,2.71,30.85
147,3_Q,2osame,66.39,0.79,32.82
148,3_K,1s,66.29,7.8,25.91
149,2_6,2odifferent,66.29,0.66,33.05
150,3_7,1o,66.28,0.68,33.04
151,3_7,1o,66.28,0.7,33.02
152,2_Q,1o,66.28,0.73,32.99
153,5_9,1o,66.26,0.67,33.07
154,5_9,1o,66.26,0.67,33.08
155,4_8,1o,66.21,0.69,33.1
156,4_8,1o,66.21,0.68,33.12
157,7_Q,2osame,66.16,0.73,33.1
158,7_T,1o,66.15,0.64,33.21
159,7_T,1o,66.14,0.64,33.22
160,2_Q,2osame,66.1,0.81,33.09
161,2_4,2osame,66.08,0.81,33.12
162,2_4,2osame,66.08,0.81,33.12
163,8_K,1s,66.0,7.46,26.53
164,4_Q,2osame,65.99,0.78,33.23
165,6_Q,2osame,65.98,0.72,33.3
166,9_K,1s,65.96,7.39,26.66
167,2_3,1o,65.96,0.79,33.26
168,2_3,1o,65.96,0.77,33.27
169,3_6,2osame,65.93,0.76,33.31
170,3_6,2osame,65.93,0.76,33.31
171,3_Q,1o,65.88,0.72,33.4
172,4_K,1s,65.87,7.72,26.41
173,6_9,2osame,65.85,0.7,33.45
174,6_9,2osame,65.85,0.7,33.45
175,2_T,1s,65.82,0.76,33.42
176,6_K,1s,65.81,7.54,26.65
177,2_Q,2odifferent,65.77,0.69,33.54
178,3_7,2odifferent,65.75,0.62,33.62
179,8_T,2osame,65.74,0.73,33.53
180,8_T,2osame,65.74,0.73,33.53
181,5_9,2odifferent,65.73,0.59,33.67
182,3_Q,2osame,65.7,0.79,33.51
183,7_K,1s,65.7,7.5,26.8
184,2_5,2osame,65.68,0.79,33.53
185,2_5,2osame,65.68,0.79,33.53
186,4_8,2odifferent,65.68,0.61,33.71
187,7_Q,1o,65.66,0.66,33.69
188,T_K,1s,65.65,7.6,26.75
189,7_T,2odifferent,65.62,0.56,33.82
190,5_Q,2osame,65.6,0.77,33.63
191,2_Q,1o,65.59,0.77,33.63
192,2_4,1o,65.56,0.74,33.69
193,2_4,1o,65.56,0.77,33.67
194,2_K,2s,65.55,7.7,26.75
195,4_Q,1o,65.49,0.7,33.81
196,6_Q,1o,65.48,0.64,33.88
197,7_Q,2osame,65.47,0.73,33.8
198,3_T,1s,65.45,0.74,33.81
199,5_K,1s,65.45,7.64,26.9
200,2_3,2odifferent,65.44,0.73,33.83
201,3_6,1o,65.42,0.7,33.88
202,3_6,1o,65.42,0.68,33.9
203,3_Q,2odifferent,65.38,0.66,33.96
204,4_7,2osame,65.38,0.75,33.88
205,4_7,2osame,65.38,0.75,33.87
206,6_9,1o,65.34,0.62,34.04
207,6_9,1o,65.33,0.62,34.04
208,5_8,2osame,65.32,0.74,33.94
209,5_8,2osame,65.32,0.74,33.94
210,4_Q,2osame,65.3,0.78,33.92
211,6_Q,2osame,65.29,0.72,33.99
212,8_Q,2osame,65.24,0.75,34.02
213,8_T,1o,65.23,0.65,34.12
214,8_T,1o,65.23,0.65,34.12
215,3_Q,1o,65.2,0.74,34.06
216,2_5,1o,65.18,0.72,34.1
217,2_5,1o,65.17,0.76,34.07
218,7_Q,2odifferent,65.16,0.58,34.27
219,3_K,2s,65.14,7.62,27.25
220,5_Q,1o,65.11,0.69,34.21
221,4_T,1s,65.08,0.73,34.18
222,2_4,2odifferent,65.05,0.71,34.25
223,5_T,1s,65.05,0.73,34.22
224,4_Q,2odifferent,65.0,0.63,34.37
225,6_Q,2odifferent,64.98,0.57,34.45
226,7_Q,1o,64.97,0.66,34.37
227,5_Q,2osame,64.91,0.77,34.32
228,3_6,2odifferent,64.91,0.63,34.47
229,9_K,2s,64.9,7.22,27.88
230,4_7,1o,64.88,0.67,34.46
231,4_7,1o,64.88,0.68,34.44
232,8_K,2s,64.87,7.29,27.84
233,2_9,1s,64.86,0.74,34.39
234,5_8,1o,64.82,0.67,34.51
235,6_9,2odifferent,64.82,0.55,34.63
236,4_Q,1o,64.81,0.71,34.48
237,5_8,1o,64.81,0.66,34.52
238,6_Q,1o,64.8,0.64,34.56
239,9_T,2osame,64.76,0.74,34.5
240,9_T,2osame,64.76,0.74,34.5
241,8_Q,1o,64.75,0.67,34.58
242,4_K,2s,64.72,7.54,27.74
