,vs_Hand,type,Equity_%,Draws_%,Loses_%
442,T_A,1o,35.42,0.41,64.18
443,J_A,2osame,35.23,0.5,64.27
444,9_A,1s,35.22,0.47,64.31
445,J_K,2odifferent,35.15,0.59,64.26
446,9_K,2osame,34.93,0.73,64.33
447,T_A,2osame,34.87,0.49,64.65
448,9_A,2s,34.82,0.39,64.79
449,T_K,2odifferent,34.8,0.58,64.62
450,J_K,2osame,34.71,0.75,64.54
451,J_K,1o,34.59,0.67,64.74
452,J_K,1o,34.58,0.67,64.75
453,J_A,1s,34.37,0.48,65.14
454,T_K,2osame,34.35,0.74,64.92
455,T_K,1o,34.23,0.66,65.11
456,T_K,1o,34.22,0.66,65.12
457,9_K,1s,34.11,0.71,65.18
458,T_A,1s,34.04,0.47,65.49
459,J_K,2osame,34.02,0.75,65.24
460,J_A,2s,33.97,0.4,65.63
461,9_K,2s,33.73,0.63,65.65
462,K_A,2odifferent,33.68,0.35,65.97
463,T_A,2s,33.66,0.39,65.95
464,T_K,2osame,33.65,0.74,65.61
465,J_K,1s,33.27,0.72,66.01
466,K_A,1o,33.07,0.43,66.49
467,K_A,1o,33.07,0.43,66.49
468,T_K,1s,32.93,0.71,66.36
469,J_K,2s,32.88,0.63,66.48
470,T_K,2s,32.57,0.63,66.8
471,K_A,2osame,32.46,0.51,67.03
472,K_A,2osame,32.46,0.51,67.03
473,K_A,1s,31.68,0.5,67.82
474,K_A,2s,31.32,0.41,68.27
475,8_8,2odifferent,30.09,2.23,67.67
476,9_9,2odifferent,28.59,0.35,71.06
477,9_9,2osame,28.15,0.51,71.34
478,J_J,2odifferent,28.15,0.3,71.56
479,T_T,2odifferent,28.03,0.3,71.66
480,9_9,1o,28.01,0.43,71.57
481,J_J,2osame,27.71,0.45,71.84
482,T_T,2osame,27.58,0.46,71.96
483,J_J,1o,27.56,0.37,72.06
484,T_T,1o,27.44,0.38,72.17
485,Q_A,2odifferent,25.32,1.45,73.23
486,8_K,2odifferent,25.24,3.13,71.63
487,8_A,2odifferent,25.19,2.36,72.45
488,Q_A,1o,24.63,1.54,73.83
489,Q_A,1o,24.56,1.54,73.89
490,8_K,1o,24.54,3.24,72.22
491,8_K,2osame,24.5,3.36,72.14
492,8_A,1o,24.5,2.47,73.03
493,8_A,2osame,24.46,2.57,72.97
494,Q_A,1s,24.03,1.59,74.38
495,Q_A,2osame,23.86,1.64,74.5
496,Q_A,2s,23.66,1.47,74.87
497,8_K,2s,23.62,3.06,73.32
498,8_A,2s,23.58,2.3,74.12
499,J_Q,2odifferent,23.44,7.83,68.73
500,Q_K,2odifferent,23.42,2.55,74.03
501,T_Q,2odifferent,23.1,10.34,66.56
502,9_Q,2odifferent,23.04,14.92,62.04
503,J_Q,1o,22.71,7.96,69.33
504,Q_K,1o,22.7,2.65,74.65
505,J_Q,2osame,22.66,8.09,69.25
506,J_Q,1o,22.66,7.96,69.38
507,Q_K,1o,22.64,2.65,74.7
508,T_Q,1o,22.37,10.5,67.13
509,T_Q,1o,22.32,10.5,67.18
510,T_Q,2osame,22.31,10.66,67.04
511,9_Q,1o,22.3,15.12,62.57
512,9_Q,1o,22.25,15.13,62.62
513,9_Q,2osame,22.24,15.33,62.43
514,J_Q,1s,22.23,7.71,70.06
515,Q_K,1s,22.22,2.67,75.11
516,J_Q,2s,21.98,7.56,70.46
517,T_Q,1s,21.91,10.12,67.97
518,Q_K,2osame,21.91,2.76,75.33
519,Q_K,2s,21.89,2.55,75.56
520,9_Q,1s,21.87,14.47,63.66
521,T_Q,2s,21.68,9.94,68.38
522,9_Q,2s,21.64,14.24,64.12
523,A_A,2odifferent,14.24,0.27,85.5
524,K_K,2odifferent,13.9,0.3,85.8
525,A_A,1o,13.44,0.35,86.21
526,K_K,1o,13.1,0.38,86.52
527,A_A,2osame,12.64,0.43,86.94
528,K_K,2osame,12.29,0.46,87.26
529,Q_Q,2odifferent,7.61,1.78,90.61
530,Q_Q,1o,6.69,1.88,91.43
531,8_Q,2odifferent,2.17,95.65,2.17
532,8_Q,2s,2.17,90.67,7.16
533,8_Q,1o,1.1,97.09,1.82
534,8_Q,2osame,0.74,98.52,0.74
