,vs_Hand,type,Equity_%,Draws_%,Loses_%
144,6_8,2osame,54.95,1.44,43.6
145,6_8,2osame,54.95,1.44,43.61
146,6_8,2odifferent,54.94,1.31,43.75
147,6_T,1o,54.89,2.91,42.2
148,6_T,1o,54.88,2.91,42.2
149,5_T,1s,54.87,2.29,42.83
150,4_5,1o,54.73,1.46,43.81
151,4_5,1o,54.73,1.46,43.81
152,5_6,1o,54.73,1.41,43.86
153,5_6,1o,54.72,1.41,43.87
154,6_7,2odifferent,54.64,1.31,44.05
155,5_9,1s,54.64,1.39,43.97
156,6_7,2osame,54.63,1.45,43.92
157,6_7,2osame,54.63,1.45,43.92
158,6_8,1o,54.62,1.36,44.01
159,6_8,1o,54.62,1.36,44.01
160,4_8,1s,54.39,1.41,44.2
161,6_7,1o,54.31,1.37,44.32
162,6_7,1o,54.31,1.37,44.32
163,5_T,2s,54.21,2.23,43.57
164,5_9,2s,54.0,1.33,44.67
165,4_7,1s,53.78,1.41,44.81
166,4_8,2s,53.74,1.35,44.91
167,4_6,1s,53.23,1.42,45.36
168,4_7,2s,53.19,1.36,45.45
169,5_8,1s,53.14,1.4,45.46
170,7_9,2odifferent,52.74,2.74,44.52
171,7_9,2osame,52.71,2.9,44.39
172,7_9,2osame,52.71,2.9,44.39
173,4_6,2s,52.7,1.36,45.94
174,7_8,2odifferent,52.63,2.16,45.21
175,7_8,2osame,52.58,2.31,45.11
176,6_9,1s,52.57,2.2,45.23
177,7_8,2osame,52.57,2.31,45.12
178,5_7,1s,52.53,1.4,46.07
179,5_8,2s,52.52,1.34,46.13
180,7_9,1o,52.4,2.81,44.8
181,7_9,1o,52.4,2.81,44.79
182,7_8,1o,52.28,2.22,45.5
183,7_8,1o,52.28,2.22,45.5
184,6_T,1s,52.25,2.81,44.93
185,7_T,2odifferent,51.99,3.18,44.83
186,5_6,1s,51.98,1.4,46.62
187,5_7,2s,51.98,1.35,46.68
188,6_8,1s,51.97,1.37,46.66
189,7_T,2osame,51.97,3.34,44.69
190,7_T,2osame,51.97,3.34,44.69
191,6_9,2s,51.95,2.13,45.92
192,4_5,1s,51.94,1.44,46.61
193,7_T,1o,51.65,3.25,45.1
194,7_T,1o,51.65,3.25,45.1
195,6_7,1s,51.64,1.37,47.0
196,6_T,2s,51.61,2.74,45.65
197,4_5,2s,51.52,1.39,47.09
198,5_6,2s,51.49,1.35,47.16
199,6_8,2s,51.36,1.31,47.33
200,6_7,2s,51.09,1.31,47.6
201,7_9,1s,49.91,2.71,47.38
202,7_8,1s,49.77,2.17,48.06
203,8_9,2odifferent,49.6,2.98,47.42
204,8_9,2osame,49.5,3.14,47.36
205,8_9,2osame,49.5,3.14,47.36
206,7_9,2s,49.31,2.64,48.04
207,7_T,1s,49.24,3.12,47.64
208,8_9,1o,49.22,3.05,47.73
209,8_9,1o,49.22,3.05,47.73
210,7_8,2s,49.19,2.1,48.71
211,8_T,2odifferent,48.66,3.19,48.15
212,7_T,2s,48.63,3.05,48.32
213,8_T,2osame,48.56,3.36,48.08
214,8_T,2osame,48.56,3.36,48.08
215,8_T,1o,48.28,3.26,48.46
216,8_T,1o,48.28,3.26,48.45
217,8_9,1s,46.94,2.94,50.13
218,8_9,2s,46.38,2.87,50.75
219,2_2,2osame,46.2,1.63,52.17
220,8_T,1s,46.09,3.14,50.78
221,2_2,1o,45.83,1.59,52.58
222,9_T,2odifferent,45.65,3.25,51.1
223,8_T,2s,45.52,3.06,51.42
224,9_T,2osame,45.49,3.42,51.09
225,9_T,2osame,45.49,3.42,51.09
226,2_2,2odifferent,45.46,1.55,52.99
227,9_T,1o,45.24,3.32,51.44
228,9_T,1o,45.24,3.32,51.44
229,9_T,1s,43.25,3.2,53.56
230,9_T,2s,42.72,3.12,54.16
231,2_K,1o,40.24,0.79,58.98
232,2_K,2odifferent,40.02,0.75,59.23
233,2_Q,1o,39.88,1.05,59.07
234,2_K,2osame,39.8,0.84,59.36
235,2_K,2osame,39.78,0.87,59.36
236,2_Q,2odifferent,39.67,1.01,59.32
237,2_K,1o,39.58,0.8,59.61
238,2_Q,2osame,39.44,1.1,59.46
239,2_Q,2osame,39.41,1.13,59.46
240,2_A,1o,39.37,0.55,60.08
241,2_Q,1o,39.23,1.06,59.71
242,2_A,2odifferent,39.16,0.51,60.32
243,2_A,2osame,38.91,0.61,60.49
244,2_A,2osame,38.89,0.63,60.48
245,2_A,1o,38.71,0.57,60.72
246,2_K,1s,38.08,0.8,61.11
247,2_Q,1s,37.77,1.05,61.18
248,2_K,2s,37.48,0.74,61.78
249,2_A,1s,37.2,0.58,62.22
250,2_Q,2s,37.17,0.99,61.84
251,6_A,2odifferent,36.73,0.41,62.87
252,2_A,2s,36.68,0.52,62.8
253,6_K,2odifferent,36.44,0.63,62.93
254,9_A,2odifferent,36.39,0.39,63.22
255,7_A,2odifferent,36.37,0.39,63.23
256,6_A,2osame,36.36,0.54,63.11
257,7_K,2odifferent,36.34,0.63,63.03
258,8_K,2odifferent,36.28,0.64,63.08
259,7_Q,2odifferent,36.28,0.9,62.82
260,6_A,1o,36.22,0.46,63.32
261,6_A,1o,36.21,0.46,63.33
262,4_K,2odifferent,36.11,0.69,63.19
263,6_Q,2odifferent,36.09,0.9,63.02
264,6_K,2osame,36.06,0.77,63.17
265,5_K,2odifferent,36.03,0.67,63.3
266,8_A,2odifferent,36.02,0.39,63.59
267,9_A,2osame,36.02,0.52,63.46
268,7_A,2osame,35.99,0.53,63.48
269,7_K,2osame,35.96,0.76,63.28
270,6_K,1o,35.93,0.69,63.38
271,6_K,1o,35.92,0.69,63.39
272,8_K,2osame,35.9,0.77,63.33
273,7_Q,2osame,35.89,1.04,63.07
274,9_A,1o,35.88,0.45,63.68
275,9_A,1o,35.88,0.45,63.68
276,7_A,1o,35.86,0.45,63.7
277,7_A,1o,35.86,0.45,63.69
278,7_K,1o,35.83,0.69,63.49
279,7_K,1o,35.82,0.69,63.49
280,8_K,1o,35.76,0.7,63.55
281,7_Q,1o,35.76,0.96,63.28
282,4_Q,2odifferent,35.76,0.95,63.29
283,7_Q,1o,35.76,0.96,63.29
284,8_K,1o,35.76,0.7,63.54
285,4_K,2osame,35.73,0.81,63.46
286,6_Q,2osame,35.7,1.03,63.28
287,6_A,2osame,35.68,0.54,63.78
288,5_Q,2odifferent,35.68,0.93,63.39
289,5_K,2osame,35.64,0.8,63.56
290,8_A,2osame,35.63,0.53,63.85
291,4_K,1o,35.6,0.75,63.65
292,4_K,1o,35.59,0.75,63.66
293,6_Q,1o,35.57,0.95,63.48
294,6_Q,1o,35.56,0.95,63.49
295,5_K,1o,35.51,0.73,63.76
296,5_K,1o,35.5,0.72,63.77
297,8_A,1o,35.5,0.45,64.05
298,8_A,1o,35.5,0.45,64.06
299,9_K,2odifferent,35.46,0.63,63.9
300,4_A,2odifferent,35.43,0.46,64.11
301,6_K,2osame,35.38,0.77,63.85
302,4_Q,2osame,35.36,1.07,63.56
303,5_A,2odifferent,35.35,0.44,64.22
304,9_A,2osame,35.34,0.53,64.13
305,7_A,2osame,35.32,0.53,64.16
306,7_K,2osame,35.28,0.77,63.95
307,5_Q,2osame,35.27,1.06,63.67
308,4_Q,1o,35.24,1.01,63.75
309,4_Q,1o,35.23,1.01,63.76
310,8_K,2osame,35.22,0.77,64.01
311,7_Q,2osame,35.21,1.04,63.75
312,5_Q,1o,35.15,0.99,63.86
313,5_Q,1o,35.15,0.98,63.87
314,9_K,2osame,35.06,0.77,64.18
315,4_K,2osame,35.05,0.83,64.13
316,8_Q,2odifferent,35.03,0.9,64.07
317,4_A,2osame,35.02,0.58,64.4
318,6_Q,2osame,35.02,1.03,63.96
319,5_K,2osame,34.96,0.8,64.24
320,8_A,2osame,34.95,0.53,64.52
321,9_K,1o,34.93,0.69,64.38
322,9_K,1o,34.93,0.69,64.38
323,5_A,2osame,34.93,0.56,64.51
324,4_A,1o,34.9,0.51,64.59
325,4_A,1o,34.9,0.51,64.59
