,vs_Hand,type,Equity_%,Draws_%,Loses_%
142,6_Q,2odifferent,66.29,10.44,23.27
143,4_Q,1o,66.23,10.8,22.98
144,3_J,1o,66.23,0.98,32.79
145,5_8,2osame,66.21,0.99,32.81
146,5_8,2osame,66.2,0.99,32.81
147,6_J,2odifferent,66.19,0.82,32.99
148,9_Q,1o,66.19,10.68,23.12
149,3_6,2osame,66.17,0.99,32.84
150,5_Q,1o,66.17,10.72,23.11
151,3_6,2osame,66.17,0.99,32.84
152,6_Q,1o,66.14,10.59,23.27
153,4_7,2osame,66.1,0.99,32.92
154,4_7,2osame,66.1,0.99,32.92
155,6_J,1o,66.03,0.9,33.07
156,4_J,2odifferent,66.01,0.87,33.12
157,5_J,2odifferent,65.97,0.87,33.17
158,2_9,1s,65.96,0.97,33.07
159,7_9,2osame,65.94,0.96,33.1
160,7_9,2osame,65.94,0.96,33.1
161,2_4,1o,65.92,0.97,33.11
162,2_4,1o,65.92,1.0,33.09
163,8_T,2s,65.91,4.06,30.03
164,2_5,1o,65.88,0.96,33.16
165,2_5,1o,65.87,1.0,33.13
166,4_J,1o,65.84,0.95,33.21
167,5_J,1o,65.8,0.95,33.25
168,7_J,1o,65.8,0.91,33.29
169,2_3,2odifferent,65.78,0.96,33.26
170,6_9,2odifferent,65.77,0.79,33.44
171,5_8,1o,65.69,0.91,33.4
172,5_8,1o,65.68,0.91,33.41
173,3_6,1o,65.66,0.91,33.43
174,3_6,1o,65.65,0.93,33.41
175,9_T,2s,65.62,4.01,30.37
176,7_J,2osame,65.61,0.99,33.4
177,3_9,1s,65.59,0.96,33.45
178,4_7,1o,65.58,0.92,33.5
179,4_7,1o,65.58,0.91,33.52
180,4_9,1s,65.55,0.96,33.5
181,7_9,1o,65.43,0.88,33.69
182,7_9,1o,65.43,0.88,33.69
183,2_4,2odifferent,65.39,0.93,33.67
184,2_5,2odifferent,65.35,0.92,33.73
185,8_J,2osame,65.34,0.99,33.67
186,7_J,2odifferent,65.29,0.83,33.88
187,2_8,1s,65.24,0.96,33.81
188,3_8,1s,65.18,0.96,33.86
189,5_8,2odifferent,65.16,0.83,34.01
190,2_7,1s,65.15,0.97,33.89
191,3_6,2odifferent,65.13,0.86,34.01
192,7_J,1o,65.11,0.91,33.98
193,6_8,2osame,65.1,0.93,33.97
194,6_8,2osame,65.1,0.93,33.97
195,4_7,2odifferent,65.06,0.84,34.1
196,5_7,2osame,65.05,0.98,33.96
197,5_7,2osame,65.05,0.98,33.96
198,3_4,2osame,65.02,1.02,33.96
199,3_4,2osame,65.02,1.02,33.96
200,3_5,2osame,64.97,1.02,34.01
201,3_5,2osame,64.97,1.02,34.01
202,8_9,2osame,64.96,0.96,34.07
203,8_9,2osame,64.96,0.96,34.07
204,7_9,2odifferent,64.91,0.8,34.29
205,8_J,1o,64.84,0.92,34.24
206,4_6,2osame,64.76,0.98,34.27
207,4_6,2osame,64.75,0.98,34.27
208,8_J,2osame,64.64,0.99,34.36
209,6_8,1o,64.6,0.86,34.55
210,6_8,1o,64.6,0.86,34.54
211,5_7,1o,64.55,0.91,34.54
212,5_7,1o,64.55,0.91,34.55
213,3_4,1o,64.51,0.97,34.52
214,3_4,1o,64.51,0.96,34.53
215,7_8,2osame,64.48,0.95,34.57
216,7_8,2osame,64.48,0.95,34.57
