,vs_Hand,type,Equity_%,Draws_%,Loses_%
145,6_9,2osame,54.25,4.59,41.15
146,6_9,1o,53.92,4.49,41.59
147,6_9,1o,53.91,4.49,41.6
148,6_8,1s,52.69,1.95,45.36
149,6_8,2s,52.2,1.87,45.92
150,7_8,2odifferent,52.0,4.29,43.71
151,7_8,2osame,51.93,4.49,43.59
152,7_8,2osame,51.93,4.49,43.59
153,6_7,1s,51.8,1.95,46.25
154,7_8,1o,51.62,4.39,43.99
155,7_8,1o,51.62,4.39,43.99
156,6_7,2s,51.38,1.88,46.74
157,6_9,1s,51.3,4.28,44.42
158,7_9,2odifferent,50.88,3.96,45.16
159,7_9,2osame,50.81,4.15,45.04
160,7_9,2osame,50.81,4.15,45.04
161,6_9,2s,50.76,4.18,45.06
162,7_9,1o,50.51,4.06,45.44
163,7_9,1o,50.5,4.06,45.44
164,7_8,1s,49.1,4.18,46.72
165,7_8,2s,48.66,4.08,47.26
166,7_9,1s,48.11,3.88,48.01
167,7_9,2s,47.62,3.78,48.6
168,8_9,2odifferent,47.36,4.12,48.52
169,8_9,2osame,47.22,4.31,48.47
170,8_9,2osame,47.22,4.31,48.47
171,8_9,1o,46.95,4.21,48.84
172,8_9,1o,46.95,4.21,48.84
173,2_2,2osame,46.63,1.9,51.47
174,2_2,1o,46.25,1.86,51.89
175,2_2,2odifferent,45.86,1.83,52.31
176,3_3,2osame,45.76,1.6,52.64
177,3_3,1o,45.39,1.54,53.06
178,3_3,2odifferent,45.02,1.49,53.49
179,4_4,2osame,44.94,1.33,53.73
180,8_9,1s,44.8,4.02,51.18
181,4_4,1o,44.58,1.26,54.16
182,8_9,2s,44.34,3.92,51.74
183,4_4,2odifferent,44.2,1.2,54.6
184,2_K,1o,41.06,0.74,58.21
185,2_K,2odifferent,40.83,0.7,58.47
186,2_Q,1o,40.7,1.0,58.3
187,3_K,1o,40.67,0.73,58.61
188,2_K,2osame,40.61,0.81,58.57
189,2_K,2osame,40.61,0.82,58.58
190,2_Q,2odifferent,40.47,0.96,58.56
191,3_K,2odifferent,40.44,0.67,58.88
192,2_K,1o,40.39,0.78,58.84
193,2_J,1o,40.34,2.32,57.34
194,3_Q,1o,40.31,0.99,58.71
195,4_K,1o,40.28,0.71,59.01
196,2_Q,2osame,40.25,1.07,58.68
197,2_Q,2osame,40.24,1.08,58.68
198,3_K,2osame,40.21,0.81,58.98
199,3_K,2osame,40.21,0.8,58.98
200,2_A,1o,40.18,0.5,59.32
201,2_J,2odifferent,40.12,2.28,57.6
202,3_Q,2odifferent,40.09,0.93,58.98
203,4_K,2odifferent,40.06,0.65,59.29
204,2_Q,1o,40.03,1.04,58.93
205,3_K,1o,40.0,0.75,59.26
206,2_A,2odifferent,39.96,0.47,59.57
207,3_J,1o,39.95,2.36,57.69
208,4_Q,1o,39.92,0.97,59.11
209,2_J,2osame,39.89,2.41,57.71
210,2_J,2osame,39.88,2.41,57.71
211,3_Q,2osame,39.85,1.06,59.09
212,3_Q,2osame,39.85,1.06,59.09
213,4_K,2osame,39.82,0.79,59.39
214,4_K,2osame,39.82,0.79,59.39
215,3_A,1o,39.79,0.49,59.72
216,3_J,2odifferent,39.74,2.29,57.97
217,2_A,2osame,39.72,0.58,59.7
218,2_A,2osame,39.71,0.58,59.71
219,4_Q,2odifferent,39.71,0.91,59.39
220,2_J,1o,39.67,2.36,57.97
221,3_Q,1o,39.64,1.01,59.35
222,4_K,1o,39.61,0.72,59.67
223,3_A,2odifferent,39.58,0.44,59.99
224,4_J,1o,39.56,2.34,58.1
225,2_A,1o,39.51,0.54,59.95
226,3_J,2osame,39.49,2.44,58.07
227,3_J,2osame,39.48,2.44,58.08
228,4_Q,2osame,39.45,1.05,59.5
229,4_Q,2osame,39.45,1.05,59.5
230,4_A,1o,39.4,0.48,60.12
231,4_J,2odifferent,39.35,2.27,58.38
232,3_A,2osame,39.32,0.57,60.11
233,3_A,2osame,39.32,0.56,60.12
234,3_J,1o,39.28,2.38,58.34
235,4_Q,1o,39.25,0.98,59.77
236,4_A,2odifferent,39.19,0.41,60.39
237,3_A,1o,39.12,0.51,60.37
238,4_J,2osame,39.09,2.43,58.48
239,4_J,2osame,39.08,2.43,58.48
240,4_A,2osame,38.92,0.56,60.52
241,4_A,2osame,38.92,0.55,60.53
242,4_J,1o,38.89,2.35,58.76
243,2_K,1s,38.84,0.78,60.38
244,4_A,1o,38.72,0.49,60.79
245,2_Q,1s,38.52,1.02,60.45
246,3_K,1s,38.47,0.77,60.76
247,2_K,2s,38.24,0.7,61.07
248,2_J,1s,38.21,2.26,59.53
249,3_Q,1s,38.16,1.01,60.83
250,4_K,1s,38.11,0.76,61.14
251,2_A,1s,37.95,0.55,61.49
252,2_Q,2s,37.93,0.94,61.13
253,3_K,2s,37.9,0.69,61.42
254,3_J,1s,37.84,2.29,59.87
255,4_Q,1s,37.79,1.0,61.21
256,2_J,2s,37.61,2.17,60.21
257,3_A,1s,37.58,0.54,61.87
258,3_Q,2s,37.58,0.94,61.48
259,4_K,2s,37.55,0.68,61.77
260,4_J,1s,37.47,2.28,60.25
261,2_A,2s,37.43,0.47,62.1
262,3_J,2s,37.27,2.21,60.52
263,4_Q,2s,37.24,0.93,61.83
264,4_A,1s,37.22,0.53,62.25
265,3_A,2s,37.08,0.47,62.45
266,4_J,2s,36.93,2.2,60.87
267,4_A,2s,36.74,0.46,62.8
268,6_A,2odifferent,36.71,0.37,62.92
269,9_A,2odifferent,36.7,0.36,62.93
270,8_K,2odifferent,36.67,0.6,62.73
271,6_K,2odifferent,36.43,0.59,62.98
272,8_A,2odifferent,36.42,0.35,63.23
273,7_A,2odifferent,36.42,0.35,63.23
274,7_K,2odifferent,36.38,0.59,63.02
275,6_A,2osame,36.33,0.52,63.16
276,7_Q,2odifferent,36.32,0.86,62.82
277,9_A,2osame,36.32,0.51,63.16
278,8_K,2osame,36.29,0.75,62.96
279,6_A,1o,36.19,0.44,63.37
280,6_A,1o,36.18,0.44,63.38
281,9_A,1o,36.18,0.43,63.39
282,9_A,1o,36.18,0.43,63.39
283,8_K,1o,36.15,0.67,63.18
284,8_K,1o,36.14,0.67,63.18
285,6_Q,2odifferent,36.07,0.85,63.07
286,6_K,2osame,36.03,0.74,63.23
287,8_A,2osame,36.02,0.5,63.47
288,7_A,2osame,36.02,0.5,63.48
289,7_K,2osame,35.99,0.74,63.27
290,6_J,2odifferent,35.97,1.29,62.75
291,7_Q,2osame,35.92,1.01,63.06
292,6_K,1o,35.9,0.67,63.43
293,8_A,1o,35.89,0.42,63.69
294,7_A,1o,35.89,0.43,63.69
295,6_K,1o,35.89,0.67,63.45
296,8_A,1o,35.88,0.42,63.69
297,7_A,1o,35.88,0.43,63.7
298,7_K,1o,35.86,0.66,63.48
299,7_K,1o,35.85,0.66,63.49
300,7_Q,1o,35.79,0.93,63.27
301,9_K,2odifferent,35.78,0.6,63.62
302,7_Q,1o,35.78,0.93,63.28
303,6_Q,2osame,35.67,1.0,63.33
304,9_A,2osame,35.65,0.51,63.84
305,6_A,2osame,35.65,0.52,63.83
306,8_K,2osame,35.61,0.75,63.64
307,6_J,2osame,35.56,1.44,63.0
308,6_Q,1o,35.54,0.93,63.53
309,6_Q,1o,35.53,0.93,63.54
310,6_J,1o,35.43,1.36,63.21
311,6_J,1o,35.42,1.36,63.22
312,8_Q,2odifferent,35.42,0.86,63.71
313,9_K,2osame,35.37,0.75,63.87
314,6_K,2osame,35.35,0.75,63.91
315,8_A,2osame,35.34,0.5,64.15
316,7_A,2osame,35.34,0.51,64.15
317,7_K,2osame,35.31,0.74,63.95
318,9_K,1o,35.24,0.68,64.08
319,9_K,1o,35.24,0.68,64.09
320,7_Q,2osame,35.24,1.01,63.75
321,7_J,2odifferent,35.07,1.29,63.64
322,8_Q,2osame,35.0,1.02,63.99
323,6_Q,2osame,34.98,1.0,64.01
324,8_Q,1o,34.88,0.94,64.19
325,8_Q,1o,34.87,0.94,64.19
326,6_J,2osame,34.87,1.44,63.69
327,9_A,1s,34.73,0.5,64.77
328,6_A,1s,34.7,0.5,64.8
329,8_K,1s,34.7,0.73,64.57
330,9_K,2osame,34.69,0.75,64.56
331,7_J,2osame,34.63,1.44,63.93
332,9_Q,2odifferent,34.53,0.86,64.6
333,7_J,1o,34.52,1.36,64.12
334,7_J,1o,34.51,1.36,64.13
335,8_A,1s,34.44,0.49,65.07
336,6_K,1s,34.43,0.72,64.85
337,7_A,1s,34.42,0.49,65.08
338,7_K,1s,34.41,0.72,64.87
339,7_Q,1s,34.37,0.97,64.66
340,6_A,2s,34.32,0.42,65.26
341,8_Q,2osame,34.31,1.01,64.67
342,9_A,2s,34.31,0.42,65.27
343,8_K,2s,34.28,0.65,65.07
344,8_J,2odifferent,34.17,1.29,64.54
345,6_Q,1s,34.12,0.96,64.92
346,9_Q,2osame,34.08,1.02,64.9
347,6_K,2s,34.05,0.64,65.31
348,8_A,2s,34.05,0.42,65.54
349,7_A,2s,34.05,0.42,65.54
350,6_J,1s,34.03,1.37,64.6
351,7_K,2s,34.02,0.64,65.34
352,9_Q,1o,33.97,0.94,65.09
353,9_Q,1o,33.97,0.94,65.1
354,7_Q,2s,33.97,0.89,65.14
355,2_T,1o,33.95,44.85,21.2
356,7_J,2osame,33.94,1.44,64.62
357,3_T,1o,33.87,44.75,21.38
358,9_K,1s,33.85,0.73,65.42
