,vs_Hand,type,Equity_%,Draws_%,Loses_%
147,7_9,1o,66.7,0.92,32.38
148,4_7,ssame,66.68,1.04,32.28
149,7_9,1o,66.57,0.92,32.51
150,6_8,2o,66.57,0.82,32.61
151,4_Q,sdifferent,66.54,7.52,25.94
152,2_5,ssame,66.52,1.08,32.4
153,9_T,ssame,66.49,1.03,32.48
154,6_Q,sdifferent,66.48,7.36,26.16
155,6_7,2o,66.46,0.82,32.72
156,4_T,sdifferent,66.45,0.92,32.62
157,5_8,ssame,66.44,1.03,32.53
158,8_Q,sdifferent,66.42,7.25,26.33
159,5_T,sdifferent,66.42,0.92,32.66
160,9_Q,sdifferent,66.38,7.19,26.43
161,7_9,ssame,66.33,1.0,32.66
162,3_4,2o,66.31,0.94,32.75
163,2_9,sdifferent,66.24,0.92,32.84
164,6_8,1o,66.2,0.9,32.89
165,4_6,2o,66.19,0.87,32.94
166,5_Q,sdifferent,66.16,7.45,26.39
167,6_8,1o,66.14,0.9,32.96
168,5_7,2o,66.12,0.86,33.01
169,T_Q,sdifferent,66.1,7.39,26.51
170,8_9,2o,66.04,0.85,33.11
171,6_7,1o,66.03,0.9,33.07
172,6_7,1o,66.03,0.91,33.06
173,7_8,2o,65.97,0.83,33.19
174,3_5,2o,65.95,0.92,33.13
175,3_9,sdifferent,65.9,0.91,33.19
176,3_4,1o,65.88,1.02,33.1
177,3_4,1o,65.88,1.0,33.11
178,4_9,sdifferent,65.86,0.91,33.23
179,2_7,sdifferent,65.81,0.92,33.27
180,6_8,ssame,65.79,0.99,33.22
181,4_6,1o,65.75,0.95,33.3
182,4_6,1o,65.75,0.96,33.29
183,5_7,1o,65.69,0.95,33.37
184,8_9,1o,65.69,0.93,33.38
185,5_7,1o,65.68,0.95,33.37
186,6_7,ssame,65.64,0.98,33.38
187,8_9,1o,65.63,0.93,33.45
188,2_8,sdifferent,65.63,0.91,33.45
189,7_8,1o,65.59,0.92,33.49
190,3_8,sdifferent,65.59,0.91,33.5
191,6_T,sdifferent,65.58,0.89,33.53
192,7_8,1o,65.52,0.91,33.56
193,3_5,1o,65.52,0.98,33.5
194,3_5,1o,65.51,1.01,33.48
195,3_4,ssame,65.49,1.08,33.44
196,4_6,ssame,65.35,1.03,33.62
197,8_9,ssame,65.32,1.01,33.67
198,5_7,ssame,65.28,1.03,33.69
199,7_8,ssame,65.17,1.0,33.83
200,3_5,ssame,65.11,1.07,33.82
201,5_6,2o,64.89,0.86,34.26
202,7_T,sdifferent,64.76,0.89,34.34
203,2_6,sdifferent,64.68,0.91,34.41
204,5_9,sdifferent,64.66,0.9,34.43
205,4_5,2o,64.65,0.9,34.45
206,3_7,sdifferent,64.6,0.91,34.49
207,5_6,1o,64.43,0.94,34.63
208,5_6,1o,64.43,0.94,34.63
209,4_8,sdifferent,64.39,0.9,34.71
210,4_5,1o,64.19,0.97,34.84
211,4_5,1o,64.19,0.98,34.83
