,vs_Hand,type,Equity_%,Draws_%,Loses_%
145,6_Q,ssame,68.21,0.57,31.22
146,6_J,ssame,68.21,0.57,31.22
147,5_T,ssame,68.18,0.6,31.22
148,5_J,ssame,68.18,0.6,31.22
149,4_A,sdifferent,68.06,4.36,27.58
150,7_J,2o,67.95,0.39,31.65
151,8_Q,1o,67.91,0.49,31.6
152,2_6,2o,67.85,0.5,31.65
153,8_Q,1o,67.82,0.5,31.68
154,3_7,2o,67.75,0.46,31.79
155,4_8,2o,67.69,0.44,31.87
156,5_A,sdifferent,67.66,4.31,28.03
157,5_9,2o,67.63,0.44,31.93
158,8_Q,ssame,67.58,0.58,31.84
159,7_J,1o,67.58,0.47,31.95
160,6_T,2o,67.57,0.39,32.04
161,7_J,1o,67.5,0.48,32.03
162,2_3,2o,67.48,0.59,31.93
163,2_6,1o,67.42,0.54,32.05
164,9_Q,2o,67.39,0.42,32.18
165,2_6,1o,67.39,0.59,32.01
166,3_7,1o,67.32,0.52,32.16
167,3_7,1o,67.29,0.55,32.16
168,7_J,ssame,67.25,0.56,32.19
169,4_8,1o,67.25,0.52,32.23
170,4_8,1o,67.23,0.53,32.24
171,6_T,1o,67.19,0.48,32.34
172,5_9,1o,67.19,0.52,32.29
173,5_9,1o,67.17,0.52,32.3
174,2_4,2o,67.12,0.56,32.32
175,6_T,1o,67.11,0.48,32.41
176,2_6,ssame,67.09,0.63,32.28
177,2_3,1o,67.04,0.63,32.33
178,2_3,1o,67.04,0.65,32.31
179,9_Q,1o,67.01,0.5,32.48
180,8_J,2o,67.01,0.4,32.59
181,3_7,ssame,67.0,0.61,32.39
182,4_8,ssame,66.93,0.6,32.46
183,9_Q,1o,66.92,0.51,32.57
184,5_9,ssame,66.87,0.6,32.52
185,6_T,ssame,66.85,0.56,32.58
186,2_5,2o,66.76,0.54,32.7
187,2_3,ssame,66.73,0.69,32.59
188,7_T,2o,66.69,0.38,32.93
189,2_4,1o,66.67,0.6,32.72
190,9_Q,ssame,66.67,0.59,32.74
191,2_4,1o,66.66,0.64,32.7
192,8_J,1o,66.62,0.48,32.9
193,3_6,2o,66.54,0.47,32.98
194,8_J,1o,66.54,0.49,32.98
195,4_7,2o,66.45,0.44,33.12
196,6_9,2o,66.42,0.39,33.19
197,J_Q,2o,66.42,0.44,33.14
198,5_8,2o,66.39,0.43,33.19
199,2_4,ssame,66.35,0.68,32.98
200,2_5,1o,66.31,0.58,33.11
201,2_5,1o,66.29,0.63,33.08
202,7_T,1o,66.29,0.47,33.24
203,8_J,ssame,66.22,0.57,33.21
204,7_T,1o,66.21,0.47,33.32
205,9_J,2o,66.13,0.42,33.46
206,T_Q,2o,66.1,0.43,33.47
207,3_6,1o,66.08,0.53,33.39
208,3_6,1o,66.06,0.56,33.37
209,4_7,1o,65.99,0.51,33.5
210,J_Q,1o,65.99,0.52,33.49
211,J_Q,1o,65.99,0.52,33.49
212,2_5,ssame,65.97,0.66,33.36
213,4_7,1o,65.96,0.53,33.51
214,2_Q,sdifferent,65.96,0.54,33.51
215,6_9,1o,65.94,0.48,33.58
216,6_9,1o,65.94,0.48,33.58
217,5_8,1o,65.93,0.51,33.57
218,5_8,1o,65.91,0.52,33.58
219,7_T,ssame,65.89,0.55,33.56
220,8_9,2o,65.84,0.39,33.77
221,3_4,2o,65.81,0.53,33.66
222,8_T,2o,65.74,0.39,33.86
223,9_J,1o,65.73,0.5,33.78
224,3_6,ssame,65.69,0.62,33.7
225,2_J,sdifferent,65.67,0.53,33.81
226,T_Q,1o,65.67,0.51,33.82
227,T_Q,1o,65.66,0.51,33.83
228,J_Q,ssame,65.65,0.6,33.74
229,9_J,1o,65.64,0.5,33.86
230,3_Q,sdifferent,65.62,0.53,33.85
231,4_7,ssame,65.6,0.6,33.81
232,6_9,ssame,65.55,0.56,33.89
233,7_9,2o,65.54,0.38,34.08
234,5_8,ssame,65.53,0.59,33.87
235,3_5,2o,65.45,0.51,34.03
236,2_T,sdifferent,65.38,0.52,34.11
237,8_9,1o,65.35,0.48,34.17
238,8_9,1o,65.35,0.48,34.17
239,8_T,1o,65.33,0.48,34.19
240,3_4,1o,65.33,0.61,34.06
241,3_J,sdifferent,65.33,0.52,34.15
242,3_4,1o,65.33,0.59,34.07
243,T_Q,ssame,65.32,0.59,34.08
244,9_J,ssame,65.31,0.58,34.11
245,4_Q,sdifferent,65.29,0.52,34.2
246,8_T,1o,65.25,0.48,34.27
247,4_6,2o,65.24,0.45,34.31
248,6_8,2o,65.18,0.38,34.44
249,5_7,2o,65.15,0.42,34.43
250,2_9,sdifferent,65.13,0.51,34.35
251,7_9,1o,65.05,0.47,34.49
252,7_Q,sdifferent,65.05,0.46,34.48
253,3_T,sdifferent,65.04,0.51,34.45
254,7_9,1o,65.04,0.47,34.49
255,4_J,sdifferent,65.0,0.51,34.5
256,3_5,1o,64.97,0.57,34.46
257,3_5,1o,64.96,0.6,34.44
258,5_Q,sdifferent,64.96,0.5,34.53
259,3_4,ssame,64.94,0.67,34.4
260,8_9,ssame,64.9,0.56,34.54
261,2_7,sdifferent,64.88,0.51,34.61
262,9_T,2o,64.87,0.41,34.73
263,8_T,ssame,64.87,0.56,34.57
264,2_8,sdifferent,64.86,0.51,34.64
265,T_J,2o,64.84,0.42,34.74
266,3_8,sdifferent,64.81,0.5,34.68
267,3_9,sdifferent,64.8,0.5,34.7
268,4_9,sdifferent,64.75,0.5,34.74
269,4_6,1o,64.75,0.52,34.73
270,4_6,1o,64.74,0.54,34.72
271,4_T,sdifferent,64.71,0.5,34.8
272,6_Q,sdifferent,64.7,0.46,34.83
273,6_J,sdifferent,64.7,0.47,34.83
274,5_J,sdifferent,64.67,0.5,34.83
275,6_8,1o,64.67,0.47,34.86
276,5_T,sdifferent,64.67,0.5,34.83
277,6_8,1o,64.67,0.47,34.86
278,5_7,1o,64.66,0.5,34.84
279,5_7,1o,64.64,0.51,34.85
280,7_9,ssame,64.59,0.55,34.86
281,3_5,ssame,64.56,0.65,34.78
282,9_T,1o,64.44,0.49,35.07
283,T_J,1o,64.38,0.5,35.12
