,vs_Hand,type,Equity_%,Draws_%,Loses_%
147,7_8,1o,65.98,1.16,32.86
148,6_7,1o,65.96,1.15,32.89
149,6_7,1o,65.89,1.15,32.96
150,3_4,ssame,65.83,1.31,32.86
151,3_5,ssame,65.79,1.31,32.9
152,7_8,ssame,65.71,1.24,33.05
153,5_9,sdifferent,65.66,1.15,33.19
154,6_7,ssame,65.57,1.23,33.2
155,4_8,sdifferent,65.29,1.13,33.57
156,2_6,sdifferent,65.26,1.14,33.6
157,4_5,2o,65.25,1.15,33.6
158,2_J,sdifferent,65.09,10.19,24.72
159,3_7,sdifferent,65.03,1.13,33.84
160,6_9,sdifferent,64.88,1.11,34.0
161,4_5,1o,64.83,1.22,33.95
162,4_5,1o,64.83,1.23,33.95
163,3_J,sdifferent,64.72,10.1,25.18
164,6_J,sdifferent,64.62,9.85,25.53
165,4_5,ssame,64.39,1.3,34.32
166,4_J,sdifferent,64.34,10.02,25.64
167,7_J,sdifferent,64.3,9.76,25.94
168,5_J,sdifferent,64.29,9.95,25.76
169,8_J,sdifferent,64.23,9.73,26.04
170,2_3,sdifferent,64.22,1.2,34.58
171,5_8,sdifferent,64.16,1.13,34.71
172,3_6,sdifferent,64.05,1.13,34.82
173,9_J,sdifferent,64.03,9.89,26.09
174,7_9,sdifferent,63.98,1.12,34.9
175,2_4,sdifferent,63.89,1.17,34.94
176,2_5,sdifferent,63.85,1.17,34.99
177,4_7,sdifferent,63.83,1.12,35.05
178,6_8,sdifferent,63.42,1.09,35.49
179,8_9,sdifferent,63.29,1.12,35.59
180,5_7,sdifferent,62.95,1.12,35.93
181,4_6,sdifferent,62.85,1.12,36.03
182,5_6,sdifferent,62.81,1.12,36.07
183,3_4,sdifferent,62.68,1.16,36.16
184,3_5,sdifferent,62.64,1.16,36.21
185,7_8,sdifferent,62.51,1.1,36.39
186,6_7,sdifferent,62.43,1.08,36.48
187,4_5,sdifferent,61.44,1.15,37.42
188,2_Q,2o,56.61,2.47,40.92
189,6_Q,2o,56.45,2.36,41.19
190,3_Q,2o,56.45,2.44,41.12
191,4_Q,2o,56.29,2.41,41.31
192,5_Q,2o,56.29,2.4,41.31
193,7_Q,2o,56.22,2.46,41.32
194,2_Q,1o,56.04,2.52,41.44
195,6_Q,1o,55.87,2.45,41.68
196,3_Q,1o,55.87,2.51,41.62
197,7_Q,1o,55.71,2.55,41.74
198,5_Q,1o,55.7,2.5,41.8
199,4_Q,1o,55.7,2.5,41.8
200,2_Q,1o,55.6,2.56,41.84
201,3_Q,1o,55.43,2.53,42.04
202,6_Q,1o,55.43,2.45,42.12
203,4_Q,1o,55.27,2.5,42.23
204,5_Q,1o,55.27,2.49,42.24
205,7_Q,1o,55.2,2.55,42.25
206,2_K,2o,55.1,2.25,42.65
207,8_Q,2o,55.0,2.46,42.54
208,3_K,2o,54.94,2.21,42.84
209,6_K,2o,54.94,2.14,42.92
210,4_K,2o,54.78,2.19,43.03
211,5_K,2o,54.78,2.18,43.04
212,2_K,1o,54.52,2.3,43.18
213,8_Q,1o,54.5,2.56,42.94
214,6_K,1o,54.35,2.23,43.42
215,3_K,1o,54.35,2.29,43.36
216,7_K,2o,54.32,2.3,43.37
217,4_K,1o,54.19,2.28,43.54
218,5_K,1o,54.19,2.27,43.54
219,2_K,1o,54.02,2.34,43.64
220,8_Q,1o,53.92,2.55,43.52
221,6_K,1o,53.85,2.23,43.92
222,3_K,1o,53.85,2.31,43.84
223,7_K,1o,53.78,2.4,43.82
224,5_K,1o,53.69,2.27,44.04
225,4_K,1o,53.69,2.28,44.03
226,6_A,2o,53.3,2.22,44.48
227,2_Q,sdifferent,53.29,2.34,44.37
228,2_2,2o,53.28,1.41,45.32
229,7_K,1o,53.22,2.4,44.38
230,3_Q,sdifferent,53.14,2.33,44.53
231,6_Q,sdifferent,53.14,2.28,44.58
232,7_Q,sdifferent,52.99,2.37,44.64
233,4_Q,sdifferent,52.99,2.32,44.69
234,5_Q,sdifferent,52.99,2.32,44.69
235,2_2,1o,52.97,1.45,45.58
236,3_3,2o,52.81,1.14,46.05
237,6_A,1o,52.69,2.32,44.99
238,2_A,2o,52.55,2.36,45.09
239,3_3,1o,52.51,1.2,46.29
240,4_4,2o,52.39,0.91,46.7
241,3_A,2o,52.39,2.33,45.28
242,5_A,2o,52.27,2.25,45.48
243,4_A,2o,52.27,2.26,45.47
244,6_A,1o,52.14,2.32,45.55
245,5_5,2o,52.09,0.74,47.17
246,4_4,1o,52.08,0.99,46.93
247,2_A,1o,51.93,2.42,45.65
248,6_6,2o,51.91,0.58,47.52
249,8_Q,sdifferent,51.85,2.37,45.78
250,2_K,sdifferent,51.84,2.13,46.03
251,2_Q,ssame,51.8,2.61,45.59
252,5_5,1o,51.78,0.83,47.4
253,3_A,1o,51.77,2.41,45.83
254,6_K,sdifferent,51.69,2.07,46.24
255,3_K,sdifferent,51.69,2.12,46.19
256,4_A,1o,51.64,2.35,46.01
257,5_A,1o,51.64,2.35,46.01
258,6_Q,ssame,51.63,2.54,45.83
259,3_Q,ssame,51.63,2.6,45.77
260,6_6,1o,51.6,0.66,47.74
261,5_K,sdifferent,51.54,2.11,46.35
262,4_K,sdifferent,51.54,2.11,46.35
263,5_Q,ssame,51.46,2.59,45.95
264,4_Q,ssame,51.46,2.59,45.95
265,7_Q,ssame,51.4,2.64,45.95
266,2_A,1o,51.38,2.46,46.16
267,3_A,1o,51.21,2.43,46.36
268,7_K,sdifferent,51.16,2.22,46.61
269,4_A,1o,51.09,2.36,46.55
270,5_A,1o,51.09,2.35,46.56
271,7_7,2o,50.58,0.48,48.94
272,7_7,1o,50.3,0.56,49.14
273,2_K,ssame,50.26,2.39,47.35
274,6_A,sdifferent,50.12,2.14,47.74
275,8_Q,ssame,50.12,2.65,47.24
276,3_K,ssame,50.09,2.38,47.53
277,6_K,ssame,50.09,2.32,47.59
278,4_K,ssame,49.92,2.37,47.71
279,5_K,ssame,49.92,2.37,47.71
280,8_8,2o,49.59,0.41,49.99
281,7_K,ssame,49.44,2.49,48.07
282,2_A,sdifferent,49.43,2.23,48.34
283,8_8,1o,49.34,0.49,50.17
284,3_A,sdifferent,49.28,2.22,48.5
285,4_A,sdifferent,49.17,2.17,48.66
286,5_A,sdifferent,49.17,2.17,48.66
287,9_9,2o,48.68,0.38,50.95
288,9_9,1o,48.45,0.46,51.09
289,6_A,ssame,48.4,2.42,49.18
290,7_A,2o,48.33,6.39,45.27
291,8_K,2o,47.9,8.69,43.41
292,8_A,2o,47.77,0.38,51.84
293,7_A,1o,47.74,6.52,45.73
294,2_A,ssame,47.63,2.51,49.85
295,9_A,2o,47.49,0.4,52.12
296,3_A,ssame,47.47,2.5,50.03
297,8_K,1o,47.37,8.84,43.79
298,4_A,ssame,47.34,2.45,50.21
299,5_A,ssame,47.34,2.45,50.21
300,8_A,1o,47.24,0.46,52.3
301,7_A,1o,47.12,6.52,46.35
302,9_A,1o,47.01,0.47,52.51
303,8_K,1o,46.75,8.84,44.41
304,9_K,2o,46.59,0.63,52.78
305,8_A,1o,46.55,0.46,52.98
306,9_A,1o,46.27,0.48,53.26
307,9_K,1o,46.08,0.71,53.21
308,9_Q,2o,45.62,10.62,43.76
309,7_A,sdifferent,45.58,5.99,48.43
310,9_K,1o,45.39,0.71,53.91
311,8_K,sdifferent,45.29,8.12,46.59
312,8_A,sdifferent,45.11,0.45,54.45
313,9_Q,1o,45.07,10.78,44.15
314,9_A,sdifferent,44.89,0.46,54.65
315,9_Q,1o,44.42,10.78,44.8
316,9_K,sdifferent,44.07,0.67,55.25
317,7_A,ssame,43.34,6.66,50.0
318,9_Q,sdifferent,43.18,9.9,46.91
319,8_K,ssame,42.92,8.99,48.09
320,8_A,ssame,42.76,0.55,56.7
321,9_A,ssame,42.47,0.56,56.97
322,9_K,ssame,41.55,0.78,57.67
323,K_A,2o,40.97,0.42,58.61
324,Q_A,2o,40.72,0.42,58.86
325,9_Q,ssame,40.54,10.94,48.52
326,K_A,1o,39.63,0.5,59.87
327,K_A,1o,39.57,0.5,59.93
328,Q_A,1o,39.43,0.5,60.07
329,Q_K,2o,39.42,0.65,59.93
330,Q_A,1o,39.31,0.5,60.19
331,K_A,sdifferent,38.5,0.48,61.02
332,Q_A,sdifferent,38.33,0.47,61.2
333,Q_K,1o,38.08,0.73,61.19
334,Q_K,1o,38.02,0.73,61.25
335,T_T,2o,37.77,1.84,60.39
336,Q_K,sdifferent,37.12,0.69,62.19
337,K_A,ssame,35.45,0.58,63.96
338,Q_A,ssame,35.21,0.58,64.22
339,Q_K,ssame,33.85,0.8,65.35
340,T_A,2o,32.52,1.71,65.77
341,J_A,2o,32.37,1.73,65.9
342,T_K,2o,31.0,2.69,66.31
343,T_A,1o,30.97,1.82,67.21
344,J_K,2o,30.85,2.71,66.44
345,J_A,1o,30.82,1.84,67.34
346,T_A,sdifferent,30.78,1.7,67.53
347,J_A,sdifferent,30.63,1.72,67.66
348,T_K,1o,29.47,2.82,67.7
349,T_Q,2o,29.43,3.64,66.93
350,T_K,sdifferent,29.42,2.67,67.91
351,J_K,1o,29.33,2.84,67.83
352,J_Q,2o,29.29,3.66,67.06
353,J_K,sdifferent,29.28,2.69,68.03
354,T_Q,sdifferent,28.03,3.6,68.37
355,T_Q,1o,27.94,3.78,68.28
356,J_Q,sdifferent,27.89,3.62,68.49
357,J_Q,1o,27.79,3.8,68.41
358,A_A,2o,21.55,0.34,78.12
359,A_A,1o,20.39,0.42,79.19
360,K_K,2o,20.13,0.36,79.51
361,K_K,1o,18.97,0.44,80.58
362,Q_Q,2o,18.7,0.36,80.93
363,Q_Q,1o,17.55,0.44,82.0
364,J_J,2o,16.8,2.04,81.16
365,T_J,2o,7.16,90.67,2.17
366,T_J,sdifferent,7.16,85.69,7.16
